,map50,map50_95,precision,recall,f1
dress,0.5694,0.391,0.3843,0.8068,0.5206
shoe,0.5867,0.2704,0.3599,0.7787,0.4923
pants,0.2159,0.1401,0.2368,0.3382,0.2786
jacket,0.1851,0.1186,0.3791,0.1439,0.2086
glasses,0.4057,0.1176,0.232,0.6042,0.3353
skirt,0.1189,0.0714,0.4054,0.0307,0.057
"top, t-shirt, sweatshirt",0.0992,0.0508,0.5,0.0048,0.0095
"tights, stockings",0.087,0.037,0.8,0.0092,0.0183
"bag, wallet",0.0467,0.0195,0.2778,0.0278,0.0505
belt,0.031,0.0107,0.1074,0.0418,0.0602
"shirt, blouse",0.0033,0.0017,0.0,0.0,0.0
