epoch,train_loss,loss_ce,loss_bbox,loss_giou,cardinality_error,lr,time_s
1,2.202638,0.802573,0.110182,0.424578,3.416333,0.0001,1028.4
2,2.060991,0.69928,0.104309,0.420082,2.599,0.0001,1034.8
3,1.984452,0.682626,0.098482,0.404707,2.309,0.0001,1020.0
4,1.936263,0.646544,0.096776,0.402919,2.398333,0.0001,1025.0
5,1.926967,0.626867,0.095893,0.410317,2.493,0.0001,1030.7
6,1.899828,0.636813,0.092464,0.400347,2.477333,0.0001,1027.1
7,1.732589,0.598782,0.081713,0.362621,2.326667,0.0001,1030.7
8,1.955204,0.623738,0.099186,0.417767,2.443667,0.0001,1025.4
9,1.924887,0.60876,0.098515,0.411776,2.799667,0.0001,1030.1
10,1.87897,0.611278,0.094552,0.397465,2.979333,0.0001,1025.2
11,1.789971,0.595711,0.087968,0.377211,2.978,0.0001,1024.1
12,1.747671,0.574547,0.085007,0.374045,2.594,0.0001,1026.5
13,1.86995,0.599487,0.092239,0.404633,2.701667,0.0001,1023.2
14,1.971729,0.632157,0.10066,0.418134,2.539,1e-05,1024.0
15,1.646038,0.575285,0.075557,0.346485,2.012333,1e-05,1025.3
16,1.498697,0.54368,0.066311,0.31173,1.982333,1e-05,1027.5
17,1.442442,0.531087,0.062524,0.299368,1.981667,1e-05,1020.2
18,1.417803,0.525979,0.061148,0.293042,1.912333,1e-05,1025.8
19,1.383371,0.514358,0.059724,0.285197,2.041333,1e-05,1028.8
20,1.352494,0.50847,0.057492,0.278282,2.152333,1e-05,1028.9
