epoch,train_loss,class_loss,box_loss,lr,time_s
1,45.259333,44.324436,0.018698,0.002,132.0
2,1.196876,0.665739,0.010623,0.002,131.9
3,1.099666,0.61154,0.009763,0.002,131.5
4,1.02244,0.577632,0.008896,0.002,132.5
5,0.954992,0.550594,0.008088,0.002,131.3
6,0.90371,0.528638,0.007501,0.002,132.5
7,0.858219,0.505778,0.007049,0.002,131.6
8,0.826944,0.49066,0.006726,0.002,132.5
9,0.796422,0.47529,0.006423,0.002,131.6
10,0.773105,0.462984,0.006202,0.002,132.9
11,0.747845,0.450617,0.005945,0.002,131.4
12,0.724783,0.438423,0.005727,0.002,131.8
13,0.704583,0.42724,0.005547,0.002,132.3
14,0.685128,0.417545,0.005352,0.0002,131.7
15,0.654161,0.400153,0.00508,0.0002,132.3
16,0.649351,0.397081,0.005045,0.0002,131.8
17,0.647686,0.397029,0.005013,0.0002,131.2
18,0.647941,0.396787,0.005023,0.0002,131.7
19,0.644079,0.394832,0.004985,0.0002,132.1
20,0.643114,0.393958,0.004983,0.0002,132.8
