,map50,map50_95,precision,recall,f1
dress,0.843,0.658,0.665,0.9007,0.7651
shoe,0.8021,0.5662,0.782,0.8369,0.8086
pants,0.7377,0.5617,0.6207,0.8447,0.7156
glasses,0.765,0.4885,0.9059,0.7417,0.8156
jacket,0.6376,0.4726,0.5035,0.794,0.6163
"top, t-shirt, sweatshirt",0.5403,0.3577,0.5413,0.6247,0.58
skirt,0.4707,0.354,0.437,0.589,0.5017
"bag, wallet",0.4529,0.2677,0.5746,0.4653,0.5142
"tights, stockings",0.3502,0.1901,0.4491,0.418,0.433
"shirt, blouse",0.3045,0.1668,0.3527,0.4658,0.4014
belt,0.3113,0.1368,0.5658,0.3535,0.4352
