epoch,train_loss,bbox_regression,classification,lr,time_s
1,6.571866,2.187168,4.384698,0.0005,67.3
2,5.137446,1.787006,3.35044,0.0005,68.6
3,4.802094,1.593355,3.208739,0.0005,68.2
4,4.517432,1.440291,3.077141,0.0005,67.6
5,4.28733,1.327451,2.959879,0.0005,69.0
6,4.051599,1.216531,2.835068,0.0005,67.8
7,3.87083,1.137611,2.733218,0.0005,67.6
8,3.688148,1.072589,2.615559,0.0005,67.5
9,3.501453,0.992248,2.509205,0.0005,67.9
10,3.321703,0.923573,2.39813,0.0005,68.1
11,3.18948,0.881265,2.308215,0.0005,67.7
12,3.060014,0.83288,2.227134,0.0005,68.0
13,2.901821,0.781944,2.119877,0.0005,67.5
14,2.752649,0.734698,2.017951,5e-05,67.9
15,2.253361,0.567956,1.685405,5e-05,68.5
16,2.007972,0.490996,1.516975,5e-05,67.4
17,1.867469,0.452162,1.415307,5e-05,67.8
18,1.752342,0.422215,1.330127,5e-05,67.7
19,1.652071,0.398035,1.254036,5e-05,68.7
20,1.552138,0.376889,1.17525,5e-05,68.2
