epoch,train_loss,bbox_regression,classification,lr,time_s
1,5.602698,1.547275,4.055424,0.005,66.2
2,4.093517,1.098471,2.995046,0.005,65.2
3,3.617949,0.919705,2.698245,0.005,66.1
4,3.270395,0.801912,2.468483,0.005,65.9
5,2.958006,0.698202,2.259804,0.005,65.3
6,2.693733,0.625501,2.068232,0.005,66.1
7,2.385465,0.542497,1.842968,0.005,65.1
8,2.136768,0.489361,1.647407,0.005,65.7
9,1.940457,0.450805,1.489653,0.005,65.8
10,1.850729,0.435948,1.41478,0.005,65.4
11,1.595785,0.390589,1.205195,0.005,66.0
12,1.401268,0.356225,1.045043,0.005,65.5
13,1.244604,0.332768,0.911837,0.005,65.5
14,1.097376,0.306428,0.790949,0.0005,66.1
15,0.760714,0.20909,0.551624,0.0005,66.4
16,0.608922,0.172433,0.43649,0.0005,65.2
17,0.540942,0.156081,0.384861,0.0005,65.2
18,0.498096,0.146636,0.35146,0.0005,65.7
19,0.461181,0.138558,0.322623,0.0005,65.7
20,0.432292,0.132347,0.299945,0.0005,65.9
