epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9973,1.33827,2.39781,1.40395,0.42217,0.30455,0.29403,0.17801,1.32773,2.02874,1.38369,0.00033156,0.00033156,0.0671755
2,79.2865,1.22324,1.64408,1.29495,0.44411,0.46132,0.38556,0.24928,1.22373,1.83369,1.30031,0.000631981,0.000631981,0.0341426
3,116.681,1.19617,1.51861,1.27397,0.43426,0.46775,0.42102,0.26839,1.22507,1.6052,1.30631,0.000899402,0.000899402,0.00107671
4,153.339,1.15419,1.42834,1.25175,0.46574,0.48821,0.44994,0.29386,1.17855,1.45342,1.25869,0.0008515,0.0008515,0.0008515
5,190.841,1.09778,1.33468,1.20896,0.48239,0.48324,0.46143,0.30889,1.14176,1.39012,1.25157,0.000802,0.000802,0.000802
6,227.728,1.05949,1.26316,1.18958,0.47719,0.49662,0.47698,0.32304,1.13638,1.37782,1.2404,0.0007525,0.0007525,0.0007525
7,264.425,1.03154,1.20442,1.1658,0.4869,0.52579,0.49406,0.34054,1.0786,1.29434,1.21907,0.000703,0.000703,0.000703
8,301.075,0.99548,1.15705,1.14744,0.52445,0.48254,0.50975,0.35484,1.05926,1.26736,1.19468,0.0006535,0.0006535,0.0006535
9,337.981,0.95429,1.09754,1.12672,0.51674,0.53356,0.52839,0.36551,1.07075,1.23595,1.1996,0.000604,0.000604,0.000604
10,374.907,0.9262,1.03707,1.10712,0.58295,0.53745,0.53914,0.37911,1.04444,1.1758,1.18602,0.0005545,0.0005545,0.0005545
11,412.823,0.90031,1.00323,1.08991,0.54087,0.53826,0.51877,0.36523,1.05531,1.21344,1.18948,0.000505,0.000505,0.000505
12,449.543,0.87379,0.95157,1.07469,0.59906,0.53363,0.54685,0.38839,1.01139,1.14005,1.17378,0.0004555,0.0004555,0.0004555
13,485.832,0.849,0.90313,1.0593,0.56151,0.54531,0.54989,0.39302,1.00473,1.12098,1.16296,0.000406,0.000406,0.000406
14,522.816,0.82512,0.85498,1.04359,0.57653,0.54458,0.55803,0.40035,0.99317,1.11098,1.15747,0.0003565,0.0003565,0.0003565
15,559.248,0.79828,0.82029,1.02926,0.60171,0.56312,0.56687,0.41089,0.98169,1.07302,1.15497,0.000307,0.000307,0.000307
16,595.781,0.77213,0.77019,1.01274,0.60318,0.55586,0.573,0.41283,0.97776,1.07296,1.14845,0.0002575,0.0002575,0.0002575
17,632.225,0.75364,0.73055,1.00438,0.58717,0.57301,0.57379,0.41066,0.97608,1.06323,1.1524,0.000208,0.000208,0.000208
18,668.992,0.72768,0.68976,0.98826,0.57699,0.56841,0.56929,0.40947,0.95704,1.04168,1.14033,0.0001585,0.0001585,0.0001585
19,705.481,0.71028,0.65361,0.98091,0.57439,0.5624,0.56955,0.41083,0.95786,1.05504,1.14811,0.000109,0.000109,0.000109
20,741.83,0.69316,0.63024,0.97033,0.58378,0.58283,0.57887,0.41682,0.94795,1.04244,1.14152,5.95e-05,5.95e-05,5.95e-05
