epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9794,1.28568,2.42229,1.34635,0.52445,0.35521,0.33574,0.20507,1.28155,1.90834,1.30631,0.00033156,0.00033156,0.0671755
2,78.3982,1.23212,1.76219,1.31101,0.46605,0.37585,0.38229,0.24156,1.23047,1.70055,1.31425,0.000631981,0.000631981,0.0341426
3,116.557,1.20559,1.6573,1.29789,0.43286,0.44055,0.4023,0.25822,1.21108,1.57426,1.29832,0.000899402,0.000899402,0.00107671
4,154.881,1.16747,1.55664,1.27214,0.49724,0.44281,0.44065,0.294,1.17195,1.4412,1.25342,0.0008515,0.0008515,0.0008515
5,192.74,1.14749,1.49009,1.25913,0.43388,0.48432,0.43866,0.28907,1.19546,1.48093,1.29756,0.000802,0.000802,0.000802
6,231.197,1.11102,1.42752,1.24113,0.4879,0.50725,0.47446,0.32316,1.10949,1.32355,1.21287,0.0007525,0.0007525,0.0007525
7,268.671,1.08136,1.37361,1.22186,0.58472,0.48802,0.47972,0.32414,1.12222,1.30134,1.22071,0.000703,0.000703,0.000703
8,306.216,1.05582,1.33187,1.20667,0.49871,0.51745,0.50558,0.35332,1.04458,1.24874,1.18992,0.0006535,0.0006535,0.0006535
9,344.441,1.02242,1.27047,1.18698,0.50449,0.5665,0.52664,0.36647,1.05302,1.21384,1.19448,0.000604,0.000604,0.000604
10,382.289,1.00293,1.22179,1.17111,0.5378,0.53212,0.52626,0.36663,1.03021,1.20271,1.17085,0.0005545,0.0005545,0.0005545
11,421.311,0.92925,1.07151,1.10939,0.55544,0.53295,0.52638,0.36903,1.03399,1.19204,1.16627,0.000505,0.000505,0.000505
12,458.068,0.89121,0.99663,1.08606,0.52889,0.56726,0.54621,0.39075,0.98071,1.12961,1.15046,0.0004555,0.0004555,0.0004555
13,494.936,0.86691,0.9395,1.07294,0.56851,0.57704,0.57141,0.40785,0.9798,1.08619,1.15038,0.000406,0.000406,0.000406
14,531.597,0.84052,0.88829,1.05556,0.58008,0.55089,0.56135,0.40153,0.97685,1.10007,1.14674,0.0003565,0.0003565,0.0003565
15,568.413,0.80756,0.85651,1.03574,0.60163,0.56915,0.58184,0.42104,0.96531,1.06671,1.14027,0.000307,0.000307,0.000307
16,605.016,0.77989,0.80672,1.01861,0.56602,0.57762,0.57579,0.41687,0.96068,1.05286,1.14716,0.0002575,0.0002575,0.0002575
17,641.731,0.7647,0.75922,1.01006,0.60608,0.56848,0.5822,0.42311,0.9618,1.0518,1.14123,0.000208,0.000208,0.000208
18,678.466,0.74319,0.72421,0.99804,0.60316,0.57592,0.57869,0.42273,0.95226,1.04319,1.13811,0.0001585,0.0001585,0.0001585
19,715.105,0.72844,0.68802,0.99055,0.59799,0.57855,0.58508,0.42942,0.93173,1.02333,1.13119,0.000109,0.000109,0.000109
20,751.915,0.71029,0.65945,0.9793,0.60588,0.56862,0.58814,0.43161,0.93405,1.02298,1.1281,5.95e-05,5.95e-05,5.95e-05
