epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5377,1.23518,3.32462,1.3498,0.54151,0.28547,0.27842,0.1776,1.20255,2.26652,1.26416,0.0033156,0.0033156,0.0701596
2,75.5525,1.15611,2.05834,1.23818,0.44097,0.41793,0.38129,0.24465,1.19712,1.93153,1.27369,0.00631981,0.00631981,0.0398305
3,112.93,1.2164,1.91328,1.26968,0.36297,0.39216,0.32831,0.19611,1.3807,2.08191,1.3841,0.00899402,0.00899402,0.00917133
4,149.611,1.25545,1.83806,1.29254,0.43202,0.42657,0.37923,0.23074,1.32467,1.8681,1.35325,0.008515,0.008515,0.008515
5,186.117,1.22931,1.72034,1.27321,0.50591,0.39353,0.37862,0.24181,1.27514,1.84167,1.32601,0.00802,0.00802,0.00802
6,222.967,1.1784,1.60839,1.24484,0.53387,0.42028,0.43377,0.28398,1.21358,1.61856,1.27515,0.007525,0.007525,0.007525
7,259.521,1.13342,1.49073,1.21817,0.47154,0.47139,0.4396,0.28199,1.2223,1.59508,1.29627,0.00703,0.00703,0.00703
8,296.014,1.08913,1.39683,1.19114,0.50828,0.4798,0.48103,0.31976,1.16506,1.43474,1.25119,0.006535,0.006535,0.006535
9,332.229,1.05071,1.31848,1.1689,0.50794,0.50024,0.4818,0.32281,1.15105,1.4424,1.22368,0.00604,0.00604,0.00604
10,368.697,1.01639,1.25555,1.1419,0.52663,0.52488,0.50081,0.34084,1.09611,1.36462,1.20853,0.005545,0.005545,0.005545
11,406.007,0.98076,1.18924,1.1236,0.53868,0.51825,0.49817,0.34459,1.09537,1.33367,1.19845,0.00505,0.00505,0.00505
12,442.81,0.94539,1.13676,1.10193,0.56371,0.5216,0.52988,0.36631,1.0632,1.28703,1.17888,0.004555,0.004555,0.004555
13,479.301,0.91943,1.08351,1.08758,0.56309,0.54016,0.53603,0.37124,1.05086,1.24185,1.17386,0.00406,0.00406,0.00406
14,515.944,0.88528,1.02162,1.06744,0.55545,0.53373,0.5362,0.37366,1.03986,1.22071,1.17021,0.003565,0.003565,0.003565
15,552.613,0.85108,0.96739,1.04847,0.62514,0.5187,0.54876,0.38823,1.02243,1.19397,1.16617,0.00307,0.00307,0.00307
16,589.062,0.82632,0.91333,1.03247,0.58116,0.54707,0.54853,0.38942,1.00869,1.18704,1.15514,0.002575,0.002575,0.002575
17,625.651,0.79763,0.86485,1.01724,0.58095,0.55366,0.55023,0.3892,0.99777,1.17533,1.15122,0.00208,0.00208,0.00208
18,661.845,0.77395,0.82118,1.00288,0.57752,0.55162,0.5537,0.39391,0.99407,1.15599,1.14678,0.001585,0.001585,0.001585
19,698.495,0.74993,0.7812,0.99275,0.60544,0.55535,0.56967,0.40566,0.97588,1.12958,1.14207,0.00109,0.00109,0.00109
20,734.981,0.72916,0.75089,0.97959,0.63329,0.53936,0.56569,0.40373,0.97356,1.14229,1.13833,0.000595,0.000595,0.000595
