,map50,map50_95,precision,recall,f1
dress,0.7748,0.5444,0.6318,0.8434,0.7224
pants,0.717,0.4853,0.7017,0.7193,0.7103
shoe,0.7013,0.3979,0.8113,0.671,0.7345
jacket,0.516,0.323,0.5068,0.5968,0.5481
glasses,0.549,0.2531,0.9364,0.3375,0.4962
"top, t-shirt, sweatshirt",0.4054,0.2224,0.5003,0.452,0.475
skirt,0.3417,0.2142,0.4352,0.4192,0.4271
"shirt, blouse",0.1721,0.0791,0.2944,0.202,0.2396
"bag, wallet",0.1714,0.0778,0.4291,0.1639,0.2372
"tights, stockings",0.1607,0.0656,0.3439,0.1755,0.2324
belt,0.0332,0.0098,0.1618,0.0159,0.0289
