epoch,train_loss,bbox_regression,classification,lr,time_s
1,5.44553,1.460245,3.985285,0.005,65.6
2,4.032554,1.070905,2.961648,0.005,65.1
3,3.567167,0.89736,2.669807,0.005,65.1
4,3.260473,0.795777,2.464696,0.005,65.6
5,2.953673,0.69537,2.258302,0.005,65.4
6,2.635665,0.608641,2.027024,0.005,64.6
7,2.326983,0.525424,1.801558,0.005,65.5
8,2.104389,0.480235,1.624154,0.005,65.5
9,1.850235,0.425054,1.425181,0.005,65.5
10,1.615091,0.381387,1.233703,0.005,65.5
11,1.470187,0.365293,1.104894,0.005,65.9
12,1.325603,0.344062,0.981541,0.005,65.2
13,1.185073,0.318592,0.866481,0.005,64.9
14,1.044539,0.296416,0.748124,0.0005,65.5
15,0.716847,0.198412,0.518435,0.0005,65.4
16,0.569798,0.163147,0.40665,0.0005,65.5
17,0.503529,0.14732,0.356208,0.0005,65.4
18,0.462554,0.138261,0.324293,0.0005,65.7
19,0.428131,0.130589,0.297543,0.0005,65.8
20,0.401351,0.124942,0.276409,0.0005,65.8
