,map50,map50_95,precision,recall,f1
dress,0.8150408882862312,0.6680221194915028,0.7076686020858073,0.8237791932059448,0.7613222884588978
pants,0.7818587567321558,0.6470190620539483,0.6993172987149915,0.7572815533980582,0.7271461041188858
shoe,0.8351620441978862,0.5996847753169399,0.7773960210486724,0.8333333333333334,0.8043933833801837
glasses,0.7508191188204096,0.47633769172927176,0.8597720847521906,0.6875,0.7640457216182504
jacket,0.5886042747737176,0.4630667120137649,0.6002610332583135,0.5818858560794045,0.5909306336783628
skirt,0.4465295843916844,0.36924957337606334,0.4614666352908069,0.5132924335378323,0.4860018024958215
"top, t-shirt, sweatshirt",0.47860702558907764,0.3371487245998986,0.5615419340393708,0.4622262198529572,0.5070667698992236
"tights, stockings",0.36615331305304066,0.23812662577442997,0.44887343262888985,0.4295612009237875,0.43900502875900316
"bag, wallet",0.3776294017380848,0.2377161055219526,0.5058237020784528,0.3682008818199398,0.42617733318211615
"shirt, blouse",0.20676339475119154,0.13466440071059638,0.29974632224226605,0.21535893155258765,0.2506402224374167
belt,0.22984590749875464,0.11489961208492667,0.4710878039924837,0.23376623376623376,0.31247440126100534
